SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	genotype	zone	Total.C1.C3.chrysenes	Total.C1.C4.naphthalenes	Total.C1.C4.phenanthrenes	Total.C1.C3.dibenzothiophenes	Total.relevant.PAHs	naphthalene.weathering.ratio	phenanthrene.weathering.ratio	dibenzothiophene.weathering.ratio	Latitude	Longitude	Position	Description
S2.5	NNNNNNNN	AAAAAAAA	E	A5	1	5-A5-14823881	ML1-5	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	0.075	0.105	0.1	0.05	0.33	0.583333333	0.571428571	0.4	29.133392	-90.145346	20	Soil
S2.62	NNNNNNNN	AAAAAAAA	J2	F2	1	62-F2-14823884	ML1-3	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.029761905	0.178571429	0.44047619	0.03968254	0.688492063	0.857142857	0.936708861	0.571428571	29.133391	-90.14534	30	Soil
S2.66	NNNNNNNN	AAAAAAAA	N2	F6	1	66-F6-14823885	ML2-8	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.023148148	0.035493827	0.030864198	0.023148148	0.112654321	0.605263158	0.571428571	0.5	29.133371	-90.145493	10	Soil
S2.67	NNNNNNNN	AAAAAAAA	O2	F7	1	67-F7-14823886	MM-3	1/18/2013	F	SALT	O	January	WINTER	NA	MM	0.167266187	0.035971223	0.90647482	0.39028777	1.5	0.17699115	0.844221106	0.7	29.133358	-90.145421	20	Soil
S2.69	NNNNNNNN	AAAAAAAA	Q2	F9	1	69-F9-14798828	ML1-7	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.028195489	0.062030075	0.184210526	0.069548872	0.343984962	0.6875	0.867256637	0.711538462	29.133364	-90.145339	10	Soil
S2.6	NNNNNNNN	AAAAAAAA	F	A6	1	6-A6-14821855	ML2-8	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	0.075	0.07	0.095	0.05	0.29	0.482758621	0.558823529	0.4	29.133371	-90.145493	10	Soil
S2.72	NNNNNNNN	AAAAAAAA	T2	F12	1	72-F12-14821859	ML1-4	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.019430052	0.025906736	0.025906736	0.019430052	0.090673575	0.571428571	0.571428571	0.5	29.133391	-90.14534	30	Soil
S2.73	NNNNNNNN	AAAAAAAA	U2	G1	1	73-G1-14798829	BJ 3D	1/19/2013	BJ	SALT	O	January	WINTER	3	D	0.020949721	0.034916201	0.058659218	0.022346369	0.136871508	0.625	0.736842105	0.516129032	29.44383	-89.8875	281	Soil
S2.75	NNNNNNNN	AAAAAAAA	W2	G3	1	75-G3-14798830	ML2-10	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.035714286	0.047619048	0.047619048	0.047619048	0.178571429	0.571428571	0.571428571	0.571428571	29.133364	-90.145498	0	Soil
S2.80	NNNNNNNN	AAAAAAAA	C3	G8	1	80-G8-14823891	MM-1	1/18/2013	F	SALT	O	January	WINTER	NA	MM	0.023006135	0.038343558	0.030674847	0.023006135	0.115030675	0.625	0.571428571	0.5	29.133341	-90.145361	0	Soil
